,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17
89,395.8359375,486.765625,4403.375,1078.32421875,2193.8828125,5567467.5,474.40625,542.765625,638.625,641.5,1090.609375,6415243.0,1847.8125,1292.05078125,1357.71875,2190.53125,1099.71875,1729884.625
90,400.6171875,491.390625,4447.375,1093.94921875,2221.2578125,5631261.5,479.0,549.828125,644.9375,649.625,1104.359375,6485767.0,1870.3125,1307.17578125,1373.28125,2201.96875,1112.46875,1749193.75
91,402.6484375,496.421875,4497.125,1104.82421875,2248.2578125,5694942.0,483.8125,555.671875,652.75,656.96875,1118.109375,6556100.0,1892.8125,1321.05078125,1389.78125,2229.71875,1127.90625,1768669.125
92,406.5859375,501.515625,4548.375,1120.01171875,2276.5078125,5758256.0,489.15625,563.921875,661.3125,664.21875,1132.359375,6626477.0,1916.9375,1334.80078125,1404.59375,2249.96875,1139.09375,1788186.25
93,411.7734375,508.609375,4606.875,1129.44921875,2298.8828125,5821293.5,495.75,570.328125,665.5625,669.625,1136.09375,6696375.0,1927.6875,1348.11328125,1419.46875,2273.46875,1151.09375,1807538.125
94,416.9921875,514.859375,4662.875,1137.63671875,2321.3828125,5883917.5,502.28125,575.421875,669.9375,675.21875,1137.453125,6766469.0,1940.0,1360.67578125,1434.15625,2297.84375,1162.40625,1826949.5
95,417.8671875,520.296875,4708.125,1149.19921875,2349.2578125,5945552.0,507.40625,580.921875,677.46875,683.15625,1151.578125,6836517.0,1965.375,1376.30078125,1451.90625,2319.09375,1175.53125,1846474.875
96,423.0234375,525.109375,4762.125,1163.88671875,2373.6328125,6007416.0,512.28125,587.421875,683.53125,691.28125,1166.765625,6906446.5,1987.625,1390.05078125,1467.65625,2340.71875,1188.15625,1865917.25
97,428.0546875,531.703125,4817.875,1173.51171875,2395.3828125,6069718.0,519.1875,593.578125,687.53125,696.8125,1170.953125,6977096.0,1998.9375,1403.92578125,1482.46875,2364.34375,1199.84375,1885279.5
98,433.0234375,535.625,4865.625,1185.32421875,2424.5078125,6131049.0,524.28125,597.828125,694.9375,704.75,1187.203125,7047648.0,2021.0625,1419.86328125,1497.28125,2394.09375,1209.28125,1904807.125
99,433.421875,541.1875,4904.375,1197.01171875,2451.3828125,6192767.0,529.53125,605.796875,703.6875,712.5625,1200.515625,7117905.0,2043.9375,1434.92578125,1513.40625,2418.71875,1220.96875,1924304.25
100,438.640625,547.40625,4960.625,1205.13671875,2473.8828125,6254882.0,535.9375,610.390625,707.96875,717.9375,1201.96875,7187908.0,2055.6875,1447.42578125,1527.96875,2441.59375,1232.15625,1943683.5
101,443.640625,553.6875,5017.625,1213.88671875,2496.3828125,6316113.5,543.03125,616.609375,713.75,723.78125,1207.25,7258168.0,2069.0,1461.98828125,1543.03125,2465.59375,1243.28125,1963127.625
102,449.140625,560.5625,5080.625,1223.07421875,2519.0078125,6376492.0,549.90625,622.390625,718.90625,729.5,1211.5,7328419.5,2081.25,1475.42578125,1557.46875,2492.71875,1254.59375,1982712.75
103,453.859375,566.25,5137.625,1237.88671875,2543.2578125,6436606.5,556.03125,626.0,726.46875,736.6875,1225.375,7398546.5,2100.0,1487.61328125,1566.09375,2522.46875,1269.78125,2002171.875
104,458.609375,572.09375,5193.875,1247.07421875,2569.3828125,6497041.5,562.34375,627.1328125,735.34375,746.3125,1241.0,7468896.0,2118.625,1500.55078125,1574.0,2547.09375,1287.40625,2021589.875
105,458.83984375,578.15625,5236.375,1261.63671875,2597.6328125,6557295.0,567.375,631.8203125,743.40625,754.1875,1254.0625,7539530.0,2145.75,1513.11328125,1587.0625,2569.96875,1298.21875,2041151.25
106,463.08984375,584.25,5275.875,1275.69921875,2623.1328125,6617906.0,572.25,637.0703125,750.90625,761.625,1267.125,7610338.0,2172.25,1526.36328125,1600.625,2586.96875,1307.65625,2060653.75
107,468.15234375,590.34375,5327.375,1285.82421875,2644.0078125,6678863.0,576.375,639.1328125,758.34375,771.3125,1279.8125,7680534.5,2188.5,1540.05078125,1613.9375,2620.96875,1320.53125,2080013.0
108,473.33984375,597.4375,5385.625,1295.32421875,2666.6328125,6739773.0,583.34375,646.1640625,763.21875,777.3125,1283.8125,7750985.0,2199.75,1553.67578125,1628.875,2644.46875,1331.90625,2099489.5
109,477.96484375,603.375,5435.375,1311.32421875,2692.2578125,6800182.0,588.0625,652.2578125,770.0625,786.1875,1299.1875,7821820.0,2223.25,1567.73828125,1644.125,2667.21875,1348.15625,2119106.0
110,482.96484375,608.65625,5480.375,1328.19921875,2714.6328125,6861072.0,593.8125,659.2890625,777.90625,794.9375,1315.1875,7892572.0,2245.125,1581.48828125,1656.375,2686.96875,1360.15625,2138530.75
111,484.23046875,615.09375,5521.375,1341.63671875,2740.8828125,6922591.0,598.4375,666.1015625,786.78125,802.625,1329.0625,7963003.5,2270.375,1597.73828125,1674.0,2716.59375,1374.34375,2157947.5
