,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17
135,14208.0,16896.0,23040.0,5728.0,9152.0,21889024.0,816.0,1272.0,4736.0,2704.0,8704.0,18087936.0,9216.0,4864.0,8064.0,9600.0,11776.0,4521984.0
136,14464.0,17152.0,23296.0,5760.0,9216.0,22020096.0,828.0,1288.0,4800.0,2704.0,8768.0,18219008.0,9344.0,4896.0,8096.0,9600.0,11840.0,4554752.0
137,14592.0,17280.0,23424.0,5792.0,9408.0,22151168.0,836.0,1304.0,4832.0,2736.0,8896.0,18350080.0,9408.0,4960.0,8160.0,9728.0,11904.0,4587520.0
138,14528.0,17408.0,23552.0,5792.0,9408.0,22282240.0,836.0,1296.0,4832.0,2768.0,8896.0,18481152.0,9536.0,4992.0,8256.0,9856.0,12032.0,4620288.0
139,14592.0,17408.0,23552.0,5888.0,9472.0,22413312.0,840.0,1304.0,4864.0,2768.0,8960.0,18612224.0,9600.0,5024.0,8320.0,9920.0,12096.0,4653056.0
140,14592.0,17408.0,23680.0,5856.0,9472.0,22544384.0,844.0,1296.0,4896.0,2800.0,8960.0,18743296.0,9664.0,5056.0,8384.0,10048.0,12224.0,4685824.0
141,14720.0,17536.0,23808.0,5888.0,9472.0,22675456.0,852.0,1320.0,4960.0,2816.0,9024.0,18874368.0,9664.0,5120.0,8448.0,10112.0,12288.0,4718592.0
142,14848.0,17792.0,23936.0,5952.0,9600.0,22806528.0,860.0,1336.0,4992.0,2848.0,9088.0,19005440.0,9728.0,5088.0,8512.0,10176.0,12352.0,4751360.0
143,14912.0,18048.0,24064.0,5984.0,9664.0,22937600.0,868.0,1360.0,5056.0,2864.0,9152.0,19136512.0,9728.0,5120.0,8512.0,10240.0,12416.0,4784128.0
144,14976.0,18176.0,24192.0,6016.0,9728.0,23068672.0,872.0,1376.0,5120.0,2880.0,9216.0,19267584.0,9856.0,5216.0,8512.0,10240.0,12480.0,4816896.0
145,14976.0,18176.0,24320.0,6016.0,9728.0,23199744.0,876.0,1368.0,5120.0,2912.0,9216.0,19398656.0,9920.0,5280.0,8576.0,10432.0,12608.0,4849664.0
146,15104.0,18432.0,24448.0,6048.0,9856.0,23330816.0,872.0,1368.0,5088.0,2896.0,9280.0,19529728.0,9984.0,5280.0,8640.0,10432.0,12736.0,4882432.0
147,15232.0,18432.0,24704.0,6080.0,9984.0,23461888.0,880.0,1384.0,5120.0,2912.0,9344.0,19660800.0,10048.0,5312.0,8704.0,10496.0,12800.0,4915200.0
148,15424.0,18560.0,25088.0,6144.0,10112.0,23592960.0,892.0,1392.0,5184.0,2928.0,9472.0,19791872.0,10112.0,5312.0,8768.0,10496.0,12864.0,4947968.0
149,15680.0,18816.0,25344.0,6176.0,10240.0,23724032.0,904.0,1408.0,5248.0,2944.0,9536.0,19922944.0,10112.0,5312.0,8832.0,10624.0,12928.0,4980736.0
150,15616.0,18816.0,25472.0,6176.0,10304.0,23855104.0,912.0,1408.0,5280.0,2976.0,9536.0,20054016.0,10176.0,5376.0,8896.0,10752.0,13056.0,5013504.0
151,15616.0,18944.0,25600.0,6176.0,10368.0,23986176.0,916.0,1400.0,5280.0,3008.0,9536.0,20185088.0,10240.0,5472.0,9024.0,10944.0,13184.0,5046272.0
152,15616.0,18944.0,25728.0,6176.0,10432.0,24117248.0,920.0,1400.0,5280.0,3040.0,9536.0,20316160.0,10368.0,5536.0,9088.0,11136.0,13312.0,5079040.0
153,15680.0,19072.0,25856.0,6208.0,10560.0,24248320.0,928.0,1416.0,5344.0,3072.0,9600.0,20447232.0,10432.0,5536.0,9152.0,11136.0,13376.0,5111808.0
154,15744.0,19072.0,25984.0,6208.0,10624.0,24379392.0,932.0,1416.0,5344.0,3104.0,9600.0,20578304.0,10560.0,5600.0,9216.0,11328.0,13504.0,5144576.0
155,15808.0,19328.0,26112.0,6272.0,10688.0,24510464.0,940.0,1432.0,5408.0,3136.0,9664.0,20709376.0,10624.0,5632.0,9280.0,11328.0,13632.0,5177344.0
156,15936.0,19456.0,26368.0,6336.0,10752.0,24641536.0,956.0,1440.0,5472.0,3152.0,9728.0,20840448.0,10688.0,5600.0,9344.0,11328.0,13696.0,5210112.0
157,16128.0,19584.0,26624.0,6400.0,10816.0,24772608.0,968.0,1464.0,5568.0,3168.0,9792.0,20971520.0,10688.0,5632.0,9408.0,11392.0,13760.0,5242880.0
